"Rank","Player","Team","Position","Points","Games","Avg"
"457","Geno Smith","LAC","QB","9.7","2","4.9"
"458","Bobo Wilson","TB","WR","9.6","3","3.2"
"459","Patrick DiMarco","BUF","RB","9.6","9","1.1"
"460","Akeem Hunt","FA","RB","9.4","14","0.7"
"461","Chad Williams","ARI","WR","9.4","5","1.9"
"462","Jeremy Sprinkle","WAS","TE","9.3","3","3.1"
"462","Brian Hill","CIN","RB","9.3","4","2.3"
"463","Jacob Hollister","NE","TE","8.7","13","0.7"
"464","Michael Roberts","DET","TE","8.6","6","1.4"
"464","Tyler Eifert","CIN","TE","8.6","2","4.3"
"464","Sean McGrath","DET","TE","8.6","4","2.2"
"464","Ryan Switzer","PIT","WR","8.6","16","0.5"
"464","Zach Zenner","DET","RB","8.6","7","1.2"
"464","Landry Jones","PIT","QB","8.6","3","2.9"
"465","Tre Madden","SEA","RB","8.5","5","1.7"
"466","Brandon Bolden","NE","RB","8.4","8","1.1"
"467","Matthew Dayes","CLE","RB","8.1","13","0.6"
"468","Michael Clark","FA","WR","8.1","2","4.1"
"469","Derek Watt","LAC","RB","7.9","11","0.7"
"470","Will Tye","NE","TE","7.8","2","3.9"
"471","Dwayne Washington","DET","RB","7.8","5","1.6"
"472","Keith Smith","OAK","RB","7.6","9","0.8"
"472","Nate Sudfeld","PHI","QB","7.6","1","7.6"
"472","Markus Wheaton","PHI","WR","7.6","7","1.1"
"473","Marcus Johnson","SEA","WR","7.5","6","1.3"
"474","Jared Abbrederis","FA","WR","7.4","4","1.9"
"475","Orson Charles","CLE","TE","7.3","3","2.4"
"476","Noah Brown","DAL","WR","7.3","7","1.0"
"477","Jay Prosch","HOU","RB","7.1","6","1.2"
"478","Bobby Rainey","FA","RB","7.0","4","1.8"
"479","Quan Bray","HOU","WR","6.9","9","0.8"
"479","Blake Bell","MIN","TE","6.9","3","2.3"
"480","Marcus Murphy","BUF","RB","6.8","1","6.8"
"481","Randall Telfer","FA","TE","6.6","3","2.2"
"482","Tanner Gentry","CHI","WR","6.5","4","1.6"
"483","Jalston Fowler","ATL","RB","6.4","3","2.1"
"484","Vince Mayle","BAL","WR","6.2","11","0.6"
"485","Nick Williams","TEN","WR","6.0","1","6.0"
"486","Bernard Reedy","TB","WR","5.8","11","0.5"
"487","De'Veon Smith","WAS","RB","5.7","1","5.7"
"488","Ifeanyi Momah","FA","TE","5.6","4","1.4"
"488","Darrell Daniels","IND","TE","5.6","7","0.8"
"489","Chris Matthews","FA","WR","5.5","4","1.4"
"490","Fitzgerald Toussaint","PIT","RB","5.4","3","1.8"
"491","JoJo Natson","LAR","WR","5.3","7","0.8"
"492","Sean Mannion","LAR","QB","5.3","5","1.1"
"493","Emanuel Byrd","GB","TE","5.1","1","5.1"
"493","Josh Ferguson","FA","RB","5.1","4","1.3"
"494","Mack Brown","MIN","RB","5.0","3","1.7"
"495","Dan Vitale","CLE","RB","4.9","9","0.5"
"496","Joe Webb","HOU","QB","4.8","8","0.6"
"497","Derrick Coleman","ARI","RB","4.8","13","0.4"
"498","Geoff Swaim","DAL","TE","4.5","2","2.3"
"498","Antony Auclair","TB","TE","4.5","3","1.5"
"499","Senorise Perry","MIA","RB","4.3","8","0.5"
"500","Ryan Hewitt","CIN","RB","4.2","5","0.8"
"501","Jehu Chesson","KC","WR","3.8","5","0.8"
"502","Michael Burton","CHI","RB","3.7","8","0.5"
"502","Chris Manhertz","CAR","TE","3.7","3","1.2"
"503","Jordan Leslie","DEN","WR","3.6","1","3.6"
"504","Cole Hikutini","SF","TE","3.5","2","1.8"
"505","MarQueis Gray","MIA","TE","3.4","7","0.5"
"506","DeAndrew White","DEN","WR","3.4","2","1.7"
"507","Darius Powe","FA","WR","3.3","1","3.3"
"507","Isaiah McKenzie","DEN","WR","3.3","11","0.3"
"508","Jeff Janis","CLE","WR","3.2","7","0.5"
"509","Shelton Gibson","PHI","WR","3.1","2","1.6"
"510","Cody Kessler","JAC","QB","2.9","3","1.0"
"511","AJ McCarron","BUF","QB","2.7","2","1.4"
"511","Allen Robinson","CHI","WR","2.7","1","2.7"
"512","Kevin White","CHI","WR","2.6","1","2.6"
"513","Andre Williams","FA","RB","2.5","2","1.3"
"514","Matt Cassel","DET","QB","2.4","2","1.2"
"515","Jeff Cumberland","FA","TE","2.2","3","0.7"
